Date,Focal_uniqueID,Filename,Male,DOB,Rank,Group,Observer,Focal_time_begin,Focal_time_end,Focal_duration,Focal_behav_time_begin,UW_behav,Seasonality,Age
2022-02-03,2022-02-03_RM_GMC-1,2022-02-03_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,6:56:53,7:13:00,0:16:07,6:57:05,NA,0.03,7.8
2022-02-03,2022-02-03_RM_GMC-1,2022-02-03_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,6:56:53,7:13:00,0:16:07,7:10:53,NA,0.03,7.8
2022-02-03,2022-02-03_RM_GMC-1,2022-02-03_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,6:56:53,7:13:00,0:16:07,7:08:02,NA,0.03,7.8
2022-02-03,2022-02-03_RM_GMC-1,2022-02-03_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,6:56:53,7:13:00,0:16:07,7:07:14,NA,0.03,7.8
2022-02-03,2022-02-03_RM_GMC-1,2022-02-03_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,6:56:53,7:13:00,0:16:07,6:57:10,UW,0.03,7.8
2022-02-03,2022-02-03_RM_GMC-1,2022-02-03_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,6:56:53,7:13:00,0:16:07,7:02:50,UW,0.03,7.8
2022-02-03,2022-02-03_RM_GMC-1,2022-02-03_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,6:56:53,7:13:00,0:16:07,7:05:12,NA,0.03,7.8
2022-02-03,2022-02-03_RM_GMC-1,2022-02-03_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,6:56:53,7:13:00,0:16:07,7:09:04,NA,0.03,7.8
2022-02-03,2022-02-03_RM_GMC-2,2022-02-03_RM_GMC_Clean.xlsx,KO,2009-01-01,alpha,RM,GMC,7:31:45,7:47:17,0:15:32,7:37:12,NA,0.03,13.1
2022-02-03,2022-02-03_RM_GMC-2,2022-02-03_RM_GMC_Clean.xlsx,KO,2009-01-01,alpha,RM,GMC,7:31:45,7:47:17,0:15:32,7:35:51,NA,0.03,13.1
2022-02-03,2022-02-03_RM_GMC-2,2022-02-03_RM_GMC_Clean.xlsx,KO,2009-01-01,alpha,RM,GMC,7:31:45,7:47:17,0:15:32,7:35:01,NA,0.03,13.1
2022-02-03,2022-02-03_RM_GMC-2,2022-02-03_RM_GMC_Clean.xlsx,KO,2009-01-01,alpha,RM,GMC,7:31:45,7:47:17,0:15:32,7:38:12,NA,0.03,13.1
2022-02-03,2022-02-03_RM_GMC-2,2022-02-03_RM_GMC_Clean.xlsx,KO,2009-01-01,alpha,RM,GMC,7:31:45,7:47:17,0:15:32,7:40:25,NA,0.03,13.1
2022-02-03,2022-02-03_RM_GMC-2,2022-02-03_RM_GMC_Clean.xlsx,KO,2009-01-01,alpha,RM,GMC,7:31:45,7:47:17,0:15:32,7:39:34,UW,0.03,13.1
2022-02-03,2022-02-03_RM_GMC-2,2022-02-03_RM_GMC_Clean.xlsx,KO,2009-01-01,alpha,RM,GMC,7:31:45,7:47:17,0:15:32,7:38:17,NA,0.03,13.1
2022-02-03,2022-02-03_RM_GMC-3,2022-02-03_RM_GMC_Clean.xlsx,LE,1994-05-01,sub,RM,GMC,8:02:06,8:16:50,0:14:44,8:10:16,NA,0.03,27.8
2022-02-03,2022-02-03_RM_GMC-3,2022-02-03_RM_GMC_Clean.xlsx,LE,1994-05-01,sub,RM,GMC,8:02:06,8:16:50,0:14:44,8:02:44,UW,0.03,27.8
2022-02-03,2022-02-03_RM_GMC-4,2022-02-03_RM_GMC_Clean.xlsx,LO,2011-01-01,sub,RM,GMC,10:31:22,10:45:59,0:14:37,10:37:44,NA,0.03,11.1
2022-02-03,2022-02-03_RM_GMC-4,2022-02-03_RM_GMC_Clean.xlsx,LO,2011-01-01,sub,RM,GMC,10:31:22,10:45:59,0:14:37,10:41:47,NA,0.03,11.1
2022-02-03,2022-02-03_RM_GMC-4,2022-02-03_RM_GMC_Clean.xlsx,LO,2011-01-01,sub,RM,GMC,10:31:22,10:45:59,0:14:37,10:40:19,NA,0.03,11.1
2022-02-03,2022-02-03_RM_GMC-4,2022-02-03_RM_GMC_Clean.xlsx,LO,2011-01-01,sub,RM,GMC,10:31:22,10:45:59,0:14:37,10:44:09,NA,0.03,11.1
2022-02-03,2022-02-03_RM_GMC-4,2022-02-03_RM_GMC_Clean.xlsx,LO,2011-01-01,sub,RM,GMC,10:31:22,10:45:59,0:14:37,10:36:27,UW,0.03,11.1
2022-02-03,2022-02-03_RM_GMC-4,2022-02-03_RM_GMC_Clean.xlsx,LO,2011-01-01,sub,RM,GMC,10:31:22,10:45:59,0:14:37,10:39:30,UW,0.03,11.1
2022-02-03,2022-02-03_RM_GMC-5,2022-02-03_RM_GMC_Clean.xlsx,FI,2014-08-25,sub,RM,GMC,11:02:58,11:18:17,0:15:19,11:08:00,UW,0.03,7.4
2022-02-03,2022-02-03_RM_GMC-5,2022-02-03_RM_GMC_Clean.xlsx,FI,2014-08-25,sub,RM,GMC,11:02:58,11:18:17,0:15:19,11:16:20,UW,0.03,7.4
2022-02-03,2022-02-03_RM_GMC-6,2022-02-03_RM_GMC_Clean.xlsx,FG,2009-02-18,sub,RM,GMC,11:32:40,11:47:35,0:14:55,NA,NA,0.03,13
2022-02-04,2022-02-04_RM_SRM-1,2022-02-04_RM_SRM_Clean.xlsx,CZ,2006-01-01,sub,RM,SRM,6:51:21,7:08:18,0:16:57,6:59:07,NA,0.03,16.1
2022-02-04,2022-02-04_RM_SRM-2,2022-02-04_RM_SRM_Clean.xlsx,LE,1994-05-01,sub,RM,SRM,7:15:21,7:30:50,0:15:29,7:25:26,UW,0.03,27.8
2022-02-04,2022-02-04_RM_SRM-2,2022-02-04_RM_SRM_Clean.xlsx,LE,1994-05-01,sub,RM,SRM,7:15:21,7:30:50,0:15:29,7:25:07,NA,0.03,27.8
2022-02-04,2022-02-04_RM_SRM-3,2022-02-04_RM_SRM_Clean.xlsx,HE,2014-04-28,sub,RM,SRM,7:40:43,7:58:29,0:17:46,7:45:25,NA,0.03,7.8
2022-02-04,2022-02-04_RM_SRM-3,2022-02-04_RM_SRM_Clean.xlsx,HE,2014-04-28,sub,RM,SRM,7:40:43,7:58:29,0:17:46,7:46:19,NA,0.03,7.8
2022-02-04,2022-02-04_RM_SRM-5,2022-02-04_RM_SRM_Clean.xlsx,FG,2009-02-18,sub,RM,SRM,8:53:06,9:09:58,0:16:52,8:55:16,NA,0.03,13
2022-02-04,2022-02-04_RM_SRM-5,2022-02-04_RM_SRM_Clean.xlsx,FG,2009-02-18,sub,RM,SRM,8:53:06,9:09:58,0:16:52,9:06:45,UW,0.03,13
2022-02-04,2022-02-04_RM_SRM-5,2022-02-04_RM_SRM_Clean.xlsx,FG,2009-02-18,sub,RM,SRM,8:53:06,9:09:58,0:16:52,9:09:18,NA,0.03,13
2022-02-04,2022-02-04_RM_SRM-5,2022-02-04_RM_SRM_Clean.xlsx,FG,2009-02-18,sub,RM,SRM,8:53:06,9:09:58,0:16:52,8:54:55,NA,0.03,13
2022-02-04,2022-02-04_RM_SRM-5,2022-02-04_RM_SRM_Clean.xlsx,FG,2009-02-18,sub,RM,SRM,8:53:06,9:09:58,0:16:52,9:02:36,NA,0.03,13
2022-02-04,2022-02-04_RM_SRM-5,2022-02-04_RM_SRM_Clean.xlsx,FG,2009-02-18,sub,RM,SRM,8:53:06,9:09:58,0:16:52,9:02:10,NA,0.03,13
2022-02-04,2022-02-04_RM_SRM-6,2022-02-04_RM_SRM_Clean.xlsx,LO,2011-01-01,sub,RM,SRM,9:47:28,10:03:40,0:16:12,NA,NA,0.03,11.1
2022-02-04,2022-02-04_RM_SRM-7,2022-02-04_RM_SRM_Clean.xlsx,FI,2014-08-25,sub,RM,SRM,10:11:49,10:28:32,0:16:43,10:28:02,UW,0.03,7.4
2022-02-04,2022-02-04_RM_SRM-7,2022-02-04_RM_SRM_Clean.xlsx,FI,2014-08-25,sub,RM,SRM,10:11:49,10:28:32,0:16:43,10:15:03,NA,0.03,7.4
2022-02-04,2022-02-04_RM_SRM-7,2022-02-04_RM_SRM_Clean.xlsx,FI,2014-08-25,sub,RM,SRM,10:11:49,10:28:32,0:16:43,10:19:36,NA,0.03,7.4
2022-02-04,2022-02-04_RM_SRM-8,2022-02-04_RM_SRM_Clean.xlsx,KO,2009-01-01,alpha,RM,SRM,11:09:33,11:25:47,0:16:14,11:11:06,NA,0.03,13.1
2022-02-24,2022-02-24_GN_SRM-10,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,12:08:20,12:24:43,0:16:23,12:18:51,NA,0,9.3
2022-02-24,2022-02-24_GN_SRM-10,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,12:08:20,12:24:43,0:16:23,12:23:25,UW,0,9.3
2022-02-24,2022-02-24_GN_SRM-10,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,12:08:20,12:24:43,0:16:23,12:20:03,NA,0,9.3
2022-02-24,2022-02-24_GN_SRM-2,2022-02-24_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,7:49:23,8:06:57,0:17:34,7:50:55,NA,0,13.1
2022-02-24,2022-02-24_GN_SRM-2,2022-02-24_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,7:49:23,8:06:57,0:17:34,8:04:55,NA,0,13.1
2022-02-24,2022-02-24_GN_SRM-2,2022-02-24_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,7:49:23,8:06:57,0:17:34,7:53:51,NA,0,13.1
2022-02-24,2022-02-24_GN_SRM-2,2022-02-24_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,7:49:23,8:06:57,0:17:34,7:59:54,NA,0,13.1
2022-02-24,2022-02-24_GN_SRM-2,2022-02-24_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,7:49:23,8:06:57,0:17:34,8:01:56,NA,0,13.1
2022-02-24,2022-02-24_GN_SRM-2,2022-02-24_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,7:49:23,8:06:57,0:17:34,7:56:42,NA,0,13.1
2022-02-24,2022-02-24_GN_SRM-2,2022-02-24_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,7:49:23,8:06:57,0:17:34,7:57:04,NA,0,13.1
2022-02-24,2022-02-24_GN_SRM-2,2022-02-24_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,7:49:23,8:06:57,0:17:34,8:06:52,NA,0,13.1
2022-02-24,2022-02-24_GN_SRM-2,2022-02-24_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,7:49:23,8:06:57,0:17:34,8:00:28,NA,0,13.1
2022-02-24,2022-02-24_GN_SRM-2,2022-02-24_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,7:49:23,8:06:57,0:17:34,7:53:23,NA,0,13.1
2022-02-24,2022-02-24_GN_SRM-2,2022-02-24_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,7:49:23,8:06:57,0:17:34,7:49:23,NA,0,13.1
2022-02-24,2022-02-24_GN_SRM-2,2022-02-24_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,7:49:23,8:06:57,0:17:34,7:51:11,NA,0,13.1
2022-02-24,2022-02-24_GN_SRM-3,2022-02-24_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,8:19:29,8:36:40,0:17:11,8:31:17,NA,0,14.1
2022-02-24,2022-02-24_GN_SRM-3,2022-02-24_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,8:19:29,8:36:40,0:17:11,8:22:24,NA,0,14.1
2022-02-24,2022-02-24_GN_SRM-3,2022-02-24_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,8:19:29,8:36:40,0:17:11,8:27:38,NA,0,14.1
2022-02-24,2022-02-24_GN_SRM-3,2022-02-24_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,8:19:29,8:36:40,0:17:11,8:33:57,UW,0,14.1
2022-02-24,2022-02-24_GN_SRM-3,2022-02-24_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,8:19:29,8:36:40,0:17:11,8:28:09,UW,0,14.1
2022-02-24,2022-02-24_GN_SRM-3,2022-02-24_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,8:19:29,8:36:40,0:17:11,8:32:09,NA,0,14.1
2022-02-24,2022-02-24_GN_SRM-3,2022-02-24_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,8:19:29,8:36:40,0:17:11,8:23:58,NA,0,14.1
2022-02-24,2022-02-24_GN_SRM-3,2022-02-24_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,8:19:29,8:36:40,0:17:11,8:29:50,NA,0,14.1
2022-02-24,2022-02-24_GN_SRM-4,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,9:23:13,9:40:58,0:17:45,9:38:39,NA,0,9.3
2022-02-24,2022-02-24_GN_SRM-4,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,9:23:13,9:40:58,0:17:45,9:32:15,UW,0,9.3
2022-02-24,2022-02-24_GN_SRM-4,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,9:23:13,9:40:58,0:17:45,9:40:51,NA,0,9.3
2022-02-24,2022-02-24_GN_SRM-5,2022-02-24_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,9:51:22,10:06:49,0:15:27,10:03:51,NA,0,13.1
2022-02-24,2022-02-24_GN_SRM-5,2022-02-24_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,9:51:22,10:06:49,0:15:27,9:57:05,UW,0,13.1
2022-02-24,2022-02-24_GN_SRM-5,2022-02-24_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,9:51:22,10:06:49,0:15:27,9:55:41,NA,0,13.1
2022-02-24,2022-02-24_GN_SRM-6,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,10:16:46,10:36:15,0:19:29,10:27:04,NA,0,9.3
2022-02-24,2022-02-24_GN_SRM-6,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,10:16:46,10:36:15,0:19:29,10:34:22,NA,0,9.3
2022-02-24,2022-02-24_GN_SRM-6,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,10:16:46,10:36:15,0:19:29,10:19:41,NA,0,9.3
2022-02-24,2022-02-24_GN_SRM-6,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,10:16:46,10:36:15,0:19:29,10:21:48,NA,0,9.3
2022-02-24,2022-02-24_GN_SRM-6,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,10:16:46,10:36:15,0:19:29,10:23:40,NA,0,9.3
2022-02-24,2022-02-24_GN_SRM-6,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,10:16:46,10:36:15,0:19:29,10:34:00,UW,0,9.3
2022-02-24,2022-02-24_GN_SRM-6,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,10:16:46,10:36:15,0:19:29,10:20:26,UW,0,9.3
2022-02-24,2022-02-24_GN_SRM-6,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,10:16:46,10:36:15,0:19:29,10:20:59,NA,0,9.3
2022-02-24,2022-02-24_GN_SRM-6,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,10:16:46,10:36:15,0:19:29,10:33:39,NA,0,9.3
2022-02-24,2022-02-24_GN_SRM-6,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,10:16:46,10:36:15,0:19:29,10:26:56,NA,0,9.3
2022-02-24,2022-02-24_GN_SRM-6,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,10:16:46,10:36:15,0:19:29,10:21:44,NA,0,9.3
2022-02-24,2022-02-24_GN_SRM-6,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,10:16:46,10:36:15,0:19:29,10:23:42,NA,0,9.3
2022-02-24,2022-02-24_GN_SRM-6,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,10:16:46,10:36:15,0:19:29,10:24:24,NA,0,9.3
2022-02-24,2022-02-24_GN_SRM-7,2022-02-24_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,10:46:35,11:03:14,0:16:39,10:58:36,NA,0,14.1
2022-02-24,2022-02-24_GN_SRM-7,2022-02-24_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,10:46:35,11:03:14,0:16:39,10:59:02,NA,0,14.1
2022-02-24,2022-02-24_GN_SRM-8,2022-02-24_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,11:15:08,11:31:50,0:16:42,11:22:14,NA,0,13.1
2022-02-24,2022-02-24_GN_SRM-9,2022-02-24_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,11:32:23,11:49:48,0:17:25,11:35:34,NA,0,14.1
2022-02-24,2022-02-24_GN_SRM-9,2022-02-24_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,11:32:23,11:49:48,0:17:25,11:33:38,NA,0,14.1
2022-02-24,2022-02-24_GN_SRM-9,2022-02-24_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,11:32:23,11:49:48,0:17:25,11:35:51,NA,0,14.1
2022-03-02,2022-03-03_RM_NAC-1,2022-03-03_RM_NAC_Clean.xlsx,LE,1994-05-01,sub,RM,NAC,6:16:03,6:32:26,0:16:23,6:21:12,NA,0,27.8
2022-03-02,2022-03-03_RM_NAC-1,2022-03-03_RM_NAC_Clean.xlsx,LE,1994-05-01,sub,RM,NAC,6:16:03,6:32:26,0:16:23,6:20:12,NA,0,27.8
2022-03-02,2022-03-03_RM_NAC-1,2022-03-03_RM_NAC_Clean.xlsx,LE,1994-05-01,sub,RM,NAC,6:16:03,6:32:26,0:16:23,6:17:16,NA,0,27.8
2022-03-03,2022-03-03_RM_NAC-3,2022-03-03_RM_NAC_Clean.xlsx,KO,2009-01-01,alpha,RM,NAC,7:02:44,7:17:48,0:15:04,7:03:54,NA,0,13.2
2022-03-03,2022-03-03_RM_NAC-3,2022-03-03_RM_NAC_Clean.xlsx,KO,2009-01-01,alpha,RM,NAC,7:02:44,7:17:48,0:15:04,7:05:30,NA,0,13.2
2022-03-03,2022-03-03_RM_NAC-4,2022-03-03_RM_NAC_Clean.xlsx,CZ,2006-01-01,sub,RM,NAC,7:33:11,7:48:29,0:15:18,7:38:36,NA,0,16.2
2022-03-04,2022-03-04_BC_NAC-1,2022-03-04_BC_NAC_Clean.xlsx,ES,2013-03-15,alpha,BC,NAC,12:13:15,12:20:46,0:07:31,NA,NA,0,9
2022-03-04,2022-03-04_BC_NAC-2,2022-03-04_BC_NAC_Clean.xlsx,ES,2013-03-15,alpha,BC,NAC,12:48:30,13:04:24,0:15:54,NA,NA,0,9
2022-03-03,2022-03-04_BC_SRM-1,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,6:15:47,6:32:24,0:16:37,6:25:20,NA,0,9
2022-03-03,2022-03-04_BC_SRM-1,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,6:15:47,6:32:24,0:16:37,6:31:00,NA,0,9
2022-03-03,2022-03-04_BC_SRM-1,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,6:15:47,6:32:24,0:16:37,6:28:34,NA,0,9
2022-03-03,2022-03-04_BC_SRM-1,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,6:15:47,6:32:24,0:16:37,6:28:07,NA,0,9
2022-03-03,2022-03-04_BC_SRM-1,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,6:15:47,6:32:24,0:16:37,6:30:22,NA,0,9
2022-03-03,2022-03-04_BC_SRM-1,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,6:15:47,6:32:24,0:16:37,6:28:20,NA,0,9
2022-03-04,2022-03-04_BC_SRM-2,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,6:46:37,7:03:22,0:16:45,6:59:20,UW,0,9
2022-03-04,2022-03-04_BC_SRM-3,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,7:38:30,7:57:24,0:18:54,7:51:05,UW,0,9
2022-03-04,2022-03-04_BC_SRM-3,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,7:38:30,7:57:24,0:18:54,7:49:52,UW,0,9
2022-03-04,2022-03-04_BC_SRM-3,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,7:38:30,7:57:24,0:18:54,7:43:44,NA,0,9
2022-03-04,2022-03-04_BC_SRM-3,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,7:38:30,7:57:24,0:18:54,7:43:16,NA,0,9
2022-03-04,2022-03-04_BC_SRM-3,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,7:38:30,7:57:24,0:18:54,7:55:59,NA,0,9
2022-03-04,2022-03-04_BC_SRM-4,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,8:40:52,9:02:05,0:21:13,8:51:42,UW,0,9
2022-03-04,2022-03-04_BC_SRM-4,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,8:40:52,9:02:05,0:21:13,8:41:45,UW,0,9
2022-03-04,2022-03-04_BC_SRM-4,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,8:40:52,9:02:05,0:21:13,8:59:44,UW,0,9
2022-03-04,2022-03-04_BC_SRM-4,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,8:40:52,9:02:05,0:21:13,8:51:40,NA,0,9
