Beh_focalname,Beh_type,Behav,Group,Rank,Indiv,DOB,Date,Beh_filename,WetDry,Date_time_begin,Date_time_end,Duration,Dur_min_corrected,Year,Time,DayRain,AveRain,MaxTemp,MinTemp,MeanTemp,z.AveRain,z.MeanTemp,z.DayRain,Age,z.Age
2022-01-25_LV_NAC_Clean.xlsx.1,B,UW,LV,Subord,PW,2006-01-01,2022-01-25,2022-01-25_LV_NAC_Clean.xlsx,DRY,2022-01-25T06:09:16Z,2022-01-25T06:24:36Z,0:15:20,15.33,2022,6:09:16,0,0.03,31.7,23.4,27.55,-0.818387985,0.163522596,-0.366266492,16.1,0.850438665
2022-01-25_LV_NAC_Clean.xlsx.1,B,UW,LV,Subord,PW,2006-01-01,2022-01-25,2022-01-25_LV_NAC_Clean.xlsx,DRY,2022-01-25T06:09:16Z,2022-01-25T06:24:36Z,0:15:20,15.33,2022,6:09:16,0,0.03,31.7,23.4,27.55,-0.818387985,0.163522596,-0.366266492,16.1,0.850438665
2022-01-25_LV_NAC_Clean.xlsx.2,B,UW,LV,Alpha,BY,2003-01-01,2022-01-25,2022-01-25_LV_NAC_Clean.xlsx,DRY,2022-01-25T09:49:49Z,2022-01-25T10:05:21Z,0:15:32,15.53,2022,9:49:49,0,0.03,31.7,23.4,27.55,-0.818387985,0.163522596,-0.366266492,19.1,1.650139823
2022-01-26_LV_MAG_Clean.xlsx.1,B,UW,LV,Subord,PW,2006-01-01,2022-01-26,2022-01-26_LV_MAG_Clean.xlsx,DRY,2022-01-26T09:00:15Z,2022-01-26T09:16:11Z,0:15:56,15.93,2022,9:00:15,0,0.03,31.1,23.1,27.1,-0.818387985,-0.082762948,-0.366266492,16.1,0.850438665
2022-01-26_LV_NAC_Clean.xlsx.1,B,UW,LV,Subord,PW,2006-01-01,2022-01-26,2022-01-26_LV_NAC_Clean.xlsx,DRY,2022-01-26T13:05:04Z,2022-01-26T13:21:02Z,0:15:58,15.97,2022,13:05:04,0,0.03,31.1,23.1,27.1,-0.818387985,-0.082762948,-0.366266492,16.1,0.850438665
2022-01-26_LV_NAC_Clean.xlsx.1,B,UW,LV,Subord,PW,2006-01-01,2022-01-26,2022-01-26_LV_NAC_Clean.xlsx,DRY,2022-01-26T13:05:04Z,2022-01-26T13:21:02Z,0:15:58,15.97,2022,13:05:04,0,0.03,31.1,23.1,27.1,-0.818387985,-0.082762948,-0.366266492,16.1,0.850438665
2022-01-26_LV_NAC_Clean.xlsx.2,B,UW,LV,Subord,PW,2006-01-01,2022-01-26,2022-01-26_LV_NAC_Clean.xlsx,DRY,2022-01-26T15:01:30Z,2022-01-26T15:16:53Z,0:15:23,15.38,2022,15:01:30,0,0.03,31.1,23.1,27.1,-0.818387985,-0.082762948,-0.366266492,16.1,0.850438665
2022-01-26_LV_NAC_Clean.xlsx.3,NA,NA,LV,Subord,PW,2006-01-01,2022-01-26,2022-01-26_LV_NAC_Clean.xlsx,DRY,2022-01-26T16:13:30Z,2022-01-26T16:29:35Z,0:16:05,16.08,2022,16:13:30,0,0.03,31.1,23.1,27.1,-0.818387985,-0.082762948,-0.366266492,16.1,0.850438665
2022-01-26_LV_NAC_Clean.xlsx.4,NA,NA,LV,Subord,PW,2006-01-01,2022-01-26,2022-01-26_LV_NAC_Clean.xlsx,DRY,2022-01-26T17:01:59Z,2022-01-26T17:17:08Z,0:15:09,15.15,2022,17:01:59,0,0.03,31.1,23.1,27.1,-0.818387985,-0.082762948,-0.366266492,16.1,0.850438665
2022-01-28_LV_MAG_Clean.xlsx.1,B,UW,LV,Subord,PW,2006-01-01,2022-01-28,2022-01-28_LV_MAG_Clean.xlsx,DRY,2022-01-28T06:15:11Z,2022-01-28T06:32:42Z,0:17:31,17.52,2022,6:15:11,0,0.03,31.4,23.2,27.3,-0.818387985,0.026697294,-0.366266492,16.1,0.850438665
2022-01-28_LV_MAG_Clean.xlsx.2,B,UW,LV,Alpha,BY,2003-01-01,2022-01-28,2022-01-28_LV_MAG_Clean.xlsx,DRY,2022-01-28T07:00:08Z,2022-01-28T07:17:06Z,0:16:58,16.97,2022,7:00:08,0,0.03,31.4,23.2,27.3,-0.818387985,0.026697294,-0.366266492,19.1,1.650139823
2022-01-28_LV_MAG_Clean.xlsx.2,B,UW,LV,Alpha,BY,2003-01-01,2022-01-28,2022-01-28_LV_MAG_Clean.xlsx,DRY,2022-01-28T07:00:08Z,2022-01-28T07:17:06Z,0:16:58,16.97,2022,7:00:08,0,0.03,31.4,23.2,27.3,-0.818387985,0.026697294,-0.366266492,19.1,1.650139823
2022-01-28_LV_MAG_Clean.xlsx.2,B,UW,LV,Alpha,BY,2003-01-01,2022-01-28,2022-01-28_LV_MAG_Clean.xlsx,DRY,2022-01-28T07:00:08Z,2022-01-28T07:17:06Z,0:16:58,16.97,2022,7:00:08,0,0.03,31.4,23.2,27.3,-0.818387985,0.026697294,-0.366266492,19.1,1.650139823
2022-01-28_LV_MAG_Clean.xlsx.3,B,UW,LV,Subord,PW,2006-01-01,2022-01-28,2022-01-28_LV_MAG_Clean.xlsx,DRY,2022-01-28T07:30:05Z,2022-01-28T07:46:50Z,0:16:45,16.75,2022,7:30:05,0,0.03,31.4,23.2,27.3,-0.818387985,0.026697294,-0.366266492,16.1,0.850438665
2022-01-28_LV_MAG_Clean.xlsx.3,B,UW,LV,Subord,PW,2006-01-01,2022-01-28,2022-01-28_LV_MAG_Clean.xlsx,DRY,2022-01-28T07:30:05Z,2022-01-28T07:46:50Z,0:16:45,16.75,2022,7:30:05,0,0.03,31.4,23.2,27.3,-0.818387985,0.026697294,-0.366266492,16.1,0.850438665
2022-01-28_LV_MAG_Clean.xlsx.3,B,UW,LV,Subord,PW,2006-01-01,2022-01-28,2022-01-28_LV_MAG_Clean.xlsx,DRY,2022-01-28T07:30:05Z,2022-01-28T07:46:50Z,0:16:45,16.75,2022,7:30:05,0,0.03,31.4,23.2,27.3,-0.818387985,0.026697294,-0.366266492,16.1,0.850438665
2022-01-28_LV_MAG_Clean.xlsx.3,B,UW,LV,Subord,PW,2006-01-01,2022-01-28,2022-01-28_LV_MAG_Clean.xlsx,DRY,2022-01-28T07:30:05Z,2022-01-28T07:46:50Z,0:16:45,16.75,2022,7:30:05,0,0.03,31.4,23.2,27.3,-0.818387985,0.026697294,-0.366266492,16.1,0.850438665
2022-01-28_LV_MAG_Clean.xlsx.4,NA,NA,LV,Alpha,BY,2003-01-01,2022-01-28,2022-01-28_LV_MAG_Clean.xlsx,DRY,2022-01-28T09:32:05Z,2022-01-28T09:48:20Z,0:16:15,16.25,2022,9:32:05,0,0.03,31.4,23.2,27.3,-0.818387985,0.026697294,-0.366266492,19.1,1.650139823
2022-01-28_LV_MAG_Clean.xlsx.5,NA,NA,LV,Subord,PW,2006-01-01,2022-01-28,2022-01-28_LV_MAG_Clean.xlsx,DRY,2022-01-28T10:44:07Z,2022-01-28T11:00:37Z,0:16:30,16.5,2022,10:44:07,0,0.03,31.4,23.2,27.3,-0.818387985,0.026697294,-0.366266492,16.1,0.850438665
2022-02-01_GN_MAG_Clean.xlsx.1,B,UW,GN,Alpha,DD,2008-01-01,2022-02-01,2022-02-01_GN_MAG_Clean.xlsx,DRY,2022-02-01T13:13:36Z,2022-02-01T13:29:55Z,0:16:19,16.32,2022,13:13:36,0,0.03,31.7,22.3,27,-0.818387985,-0.137493068,-0.366266492,14.1,0.317304559
2022-02-01_GN_MAG_Clean.xlsx.1,B,UW,GN,Alpha,DD,2008-01-01,2022-02-01,2022-02-01_GN_MAG_Clean.xlsx,DRY,2022-02-01T13:13:36Z,2022-02-01T13:29:55Z,0:16:19,16.32,2022,13:13:36,0,0.03,31.7,22.3,27,-0.818387985,-0.137493068,-0.366266492,14.1,0.317304559
2022-02-01_GN_MAG_Clean.xlsx.2,NA,NA,GN,Subord,EC,2009-01-01,2022-02-01,2022-02-01_GN_MAG_Clean.xlsx,DRY,2022-02-01T13:38:20Z,2022-02-01T13:57:54Z,0:19:34,19.57,2022,13:38:20,0,0.03,31.7,22.3,27,-0.818387985,-0.137493068,-0.366266492,13.1,0.050737506
2022-02-01_GN_MAG_Clean.xlsx.3,NA,NA,GN,Subord,TD,2012-10-23,2022-02-01,2022-02-01_GN_MAG_Clean.xlsx,DRY,2022-02-01T15:16:37Z,2022-02-01T15:33:07Z,0:16:30,16.5,2022,15:16:37,0,0.03,31.7,22.3,27,-0.818387985,-0.137493068,-0.366266492,9.3,-0.962217294
2022-02-01_GN_MAG_Clean.xlsx.4,NA,NA,GN,Alpha,DD,2008-01-01,2022-02-01,2022-02-01_GN_MAG_Clean.xlsx,DRY,2022-02-01T15:44:36Z,2022-02-01T16:01:48Z,0:17:12,17.2,2022,15:44:36,0,0.03,31.7,22.3,27,-0.818387985,-0.137493068,-0.366266492,14.1,0.317304559
2022-02-01_GN_MAG_Clean.xlsx.5,NA,NA,GN,Subord,EC,2009-01-01,2022-02-01,2022-02-01_GN_MAG_Clean.xlsx,DRY,2022-02-01T16:13:30Z,2022-02-01T16:30:53Z,0:17:23,17.38,2022,16:13:30,0,0.03,31.7,22.3,27,-0.818387985,-0.137493068,-0.366266492,13.1,0.050737506
2022-02-01_GN_MAG_Clean.xlsx.6,NA,NA,GN,Subord,TD,2012-10-23,2022-02-01,2022-02-01_GN_MAG_Clean.xlsx,DRY,2022-02-01T16:52:54Z,2022-02-01T17:10:26Z,0:17:32,17.53,2022,16:52:54,0,0.03,31.7,22.3,27,-0.818387985,-0.137493068,-0.366266492,9.3,-0.962217294
2022-02-01_GN_NAC_Clean.xlsx.1,B,UW,GN,Alpha,DD,2008-01-01,2022-02-01,2022-02-01_GN_NAC_Clean.xlsx,DRY,2022-02-01T07:42:59Z,2022-02-01T07:59:10Z,0:16:11,16.18,2022,7:42:59,0,0.03,31.7,22.3,27,-0.818387985,-0.137493068,-0.366266492,14.1,0.317304559
2022-02-01_GN_NAC_Clean.xlsx.1,B,UW,GN,Alpha,DD,2008-01-01,2022-02-01,2022-02-01_GN_NAC_Clean.xlsx,DRY,2022-02-01T07:42:59Z,2022-02-01T07:59:10Z,0:16:11,16.18,2022,7:42:59,0,0.03,31.7,22.3,27,-0.818387985,-0.137493068,-0.366266492,14.1,0.317304559
2022-02-01_GN_NAC_Clean.xlsx.2,NA,NA,GN,Subord,TD,2012-10-23,2022-02-01,2022-02-01_GN_NAC_Clean.xlsx,DRY,2022-02-01T11:14:10Z,2022-02-01T11:31:01Z,0:16:51,16.85,2022,11:14:10,0,0.03,31.7,22.3,27,-0.818387985,-0.137493068,-0.366266492,9.3,-0.962217294
2022-02-02_GN_SRM_Clean.xlsx.2,NA,NA,GN,Alpha,DD,2008-01-01,2022-02-02,2022-02-02_GN_SRM_Clean.xlsx,DRY,2022-02-02T08:31:52Z,2022-02-02T08:39:31Z,0:07:39,7.65,2022,8:31:52,0,0.03,31.9,22.6,27.25,-0.818387985,-0.000667766,-0.366266492,14.1,0.317304559
2022-02-03_RM_GMC_Clean.xlsx.1,B,UW,RM,Subord,HE,2014-04-28,2022-02-03,2022-02-03_RM_GMC_Clean.xlsx,DRY,2022-02-03T06:56:53Z,2022-02-03T07:13:00Z,0:16:07,16.12,2022,6:56:53,0,0.03,32.2,22.8,27.5,-0.818387985,0.136157536,-0.366266492,7.8,-1.362067873
2022-02-03_RM_GMC_Clean.xlsx.1,B,UW,RM,Subord,HE,2014-04-28,2022-02-03,2022-02-03_RM_GMC_Clean.xlsx,DRY,2022-02-03T06:56:53Z,2022-02-03T07:13:00Z,0:16:07,16.12,2022,6:56:53,0,0.03,32.2,22.8,27.5,-0.818387985,0.136157536,-0.366266492,7.8,-1.362067873
2022-02-03_RM_GMC_Clean.xlsx.2,B,UW,RM,Alpha,KO,2009-01-01,2022-02-03,2022-02-03_RM_GMC_Clean.xlsx,DRY,2022-02-03T07:31:45Z,2022-02-03T07:47:17Z,0:15:32,15.53,2022,7:31:45,0,0.03,32.2,22.8,27.5,-0.818387985,0.136157536,-0.366266492,13.1,0.050737506
2022-02-03_RM_GMC_Clean.xlsx.3,B,UW,RM,Subord,LE,1994-05-01,2022-02-03,2022-02-03_RM_GMC_Clean.xlsx,DRY,2022-02-03T08:02:06Z,2022-02-03T08:16:50Z,0:14:44,14.73,2022,8:02:06,0,0.03,32.2,22.8,27.5,-0.818387985,0.136157536,-0.366266492,27.8,3.969273182
2022-02-03_RM_GMC_Clean.xlsx.4,B,UW,RM,Subord,LO,2011-01-01,2022-02-03,2022-02-03_RM_GMC_Clean.xlsx,DRY,2022-02-03T10:31:22Z,2022-02-03T10:45:59Z,0:14:37,14.62,2022,10:31:22,0,0.03,32.2,22.8,27.5,-0.818387985,0.136157536,-0.366266492,11.1,-0.482396599
2022-02-03_RM_GMC_Clean.xlsx.4,B,UW,RM,Subord,LO,2011-01-01,2022-02-03,2022-02-03_RM_GMC_Clean.xlsx,DRY,2022-02-03T10:31:22Z,2022-02-03T10:45:59Z,0:14:37,14.62,2022,10:31:22,0,0.03,32.2,22.8,27.5,-0.818387985,0.136157536,-0.366266492,11.1,-0.482396599
2022-02-03_RM_GMC_Clean.xlsx.5,B,UW,RM,Subord,FI,2014-08-25,2022-02-03,2022-02-03_RM_GMC_Clean.xlsx,DRY,2022-02-03T11:02:58Z,2022-02-03T11:18:17Z,0:15:19,15.32,2022,11:02:58,0,0.03,32.2,22.8,27.5,-0.818387985,0.136157536,-0.366266492,7.4,-1.468694694
2022-02-03_RM_GMC_Clean.xlsx.5,B,UW,RM,Subord,FI,2014-08-25,2022-02-03,2022-02-03_RM_GMC_Clean.xlsx,DRY,2022-02-03T11:02:58Z,2022-02-03T11:18:17Z,0:15:19,15.32,2022,11:02:58,0,0.03,32.2,22.8,27.5,-0.818387985,0.136157536,-0.366266492,7.4,-1.468694694
2022-02-03_RM_GMC_Clean.xlsx.6,NA,NA,RM,Subord,FG,2009-02-18,2022-02-03,2022-02-03_RM_GMC_Clean.xlsx,DRY,2022-02-03T11:32:40Z,2022-02-03T11:47:35Z,0:14:55,14.92,2022,11:32:40,0,0.03,32.2,22.8,27.5,-0.818387985,0.136157536,-0.366266492,13,0.024080801
2022-02-04_RM_SRM_Clean.xlsx.1,NA,NA,RM,Subord,CZ,2006-01-01,2022-02-04,2022-02-04_RM_SRM_Clean.xlsx,DRY,2022-02-04T06:51:21Z,2022-02-04T07:08:18Z,0:16:57,16.95,2022,6:51:21,0,0.03,31.9,24.2,28.05,-0.818387985,0.437173201,-0.366266492,16.1,0.850438665
2022-02-04_RM_SRM_Clean.xlsx.2,B,UW,RM,Subord,LE,1994-05-01,2022-02-04,2022-02-04_RM_SRM_Clean.xlsx,DRY,2022-02-04T07:15:21Z,2022-02-04T07:30:50Z,0:15:29,15.48,2022,7:15:21,0,0.03,31.9,24.2,28.05,-0.818387985,0.437173201,-0.366266492,27.8,3.969273182
2022-02-04_RM_SRM_Clean.xlsx.3,NA,NA,RM,Subord,HE,2014-04-28,2022-02-04,2022-02-04_RM_SRM_Clean.xlsx,DRY,2022-02-04T07:40:43Z,2022-02-04T07:58:29Z,0:17:46,17.77,2022,7:40:43,0,0.03,31.9,24.2,28.05,-0.818387985,0.437173201,-0.366266492,7.8,-1.362067873
2022-02-04_RM_SRM_Clean.xlsx.5,B,UW,RM,Subord,FG,2009-02-18,2022-02-04,2022-02-04_RM_SRM_Clean.xlsx,DRY,2022-02-04T08:53:06Z,2022-02-04T09:09:58Z,0:16:52,16.87,2022,8:53:06,0,0.03,31.9,24.2,28.05,-0.818387985,0.437173201,-0.366266492,13,0.024080801
2022-02-04_RM_SRM_Clean.xlsx.6,NA,NA,RM,Subord,LO,2011-01-01,2022-02-04,2022-02-04_RM_SRM_Clean.xlsx,DRY,2022-02-04T09:47:28Z,2022-02-04T10:03:40Z,0:16:12,16.2,2022,9:47:28,0,0.03,31.9,24.2,28.05,-0.818387985,0.437173201,-0.366266492,11.1,-0.482396599
2022-02-04_RM_SRM_Clean.xlsx.7,B,UW,RM,Subord,FI,2014-08-25,2022-02-04,2022-02-04_RM_SRM_Clean.xlsx,DRY,2022-02-04T10:11:49Z,2022-02-04T10:28:32Z,0:16:43,16.72,2022,10:11:49,0,0.03,31.9,24.2,28.05,-0.818387985,0.437173201,-0.366266492,7.4,-1.468694694
2022-02-04_RM_SRM_Clean.xlsx.8,NA,NA,RM,Alpha,KO,2009-01-01,2022-02-04,2022-02-04_RM_SRM_Clean.xlsx,DRY,2022-02-04T11:09:33Z,2022-02-04T11:25:47Z,0:16:14,16.23,2022,11:09:33,0,0.03,31.9,24.2,28.05,-0.818387985,0.437173201,-0.366266492,13.1,0.050737506
2022-02-21_LV_NAC_Clean.xlsx.1,NA,NA,LV,Alpha,BY,2003-01-01,2022-02-21,2022-02-21_LV_NAC_Clean.xlsx,DRY,2022-02-21T13:02:56Z,2022-02-21T13:18:51Z,0:15:55,15.92,2022,13:02:56,0,0,31.5,23.6,27.55,-0.824530947,0.163522596,-0.366266492,19.1,1.650139823
2022-02-21_LV_SRM_Clean.xlsx.1,B,UW,LV,Alpha,BY,2003-01-01,2022-02-21,2022-02-21_LV_SRM_Clean.xlsx,DRY,2022-02-21T06:17:13Z,2022-02-21T06:38:07Z,0:20:54,20.9,2022,6:17:13,0,0,31.5,23.6,27.55,-0.824530947,0.163522596,-0.366266492,19.1,1.650139823
2022-02-21_LV_SRM_Clean.xlsx.2,NA,NA,LV,Alpha,BY,2003-01-01,2022-02-21,2022-02-21_LV_SRM_Clean.xlsx,DRY,2022-02-21T08:02:40Z,2022-02-21T08:19:46Z,0:17:06,17.1,2022,8:02:40,0,0,31.5,23.6,27.55,-0.824530947,0.163522596,-0.366266492,19.1,1.650139823
2022-02-21_LV_SRM_Clean.xlsx.3,NA,NA,LV,Alpha,BY,2003-01-01,2022-02-21,2022-02-21_LV_SRM_Clean.xlsx,DRY,2022-02-21T10:15:38Z,2022-02-21T10:31:46Z,0:16:08,16.13,2022,10:15:38,0,0,31.5,23.6,27.55,-0.824530947,0.163522596,-0.366266492,19.1,1.650139823
2022-02-22_LV_GMC_Clean.xlsx.1,B,UW,LV,Alpha,BY,2003-01-01,2022-02-22,2022-02-22_LV_GMC_Clean.xlsx,DRY,2022-02-22T10:03:16Z,2022-02-22T10:18:22Z,0:15:06,15.1,2022,10:03:16,0,0,31.3,23.8,27.55,-0.824530947,0.163522596,-0.366266492,19.1,1.650139823
2022-02-22_LV_GMC_Clean.xlsx.2,B,UW,LV,Alpha,BY,2003-01-01,2022-02-22,2022-02-22_LV_GMC_Clean.xlsx,DRY,2022-02-22T10:45:29Z,2022-02-22T11:00:37Z,0:15:08,15.13,2022,10:45:29,0,0,31.3,23.8,27.55,-0.824530947,0.163522596,-0.366266492,19.1,1.650139823
2022-02-22_LV_GMC_Clean.xlsx.3,NA,NA,LV,Alpha,BY,2003-01-01,2022-02-22,2022-02-22_LV_GMC_Clean.xlsx,DRY,2022-02-22T11:35:45Z,2022-02-22T11:50:55Z,0:15:10,15.17,2022,11:35:45,0,0,31.3,23.8,27.55,-0.824530947,0.163522596,-0.366266492,19.1,1.650139823
2022-02-22_LV_MAG_Clean.xlsx.1,NA,NA,LV,Alpha,BY,2003-01-01,2022-02-22,2022-02-22_LV_MAG_Clean.xlsx,DRY,2022-02-22T12:16:06Z,2022-02-22T12:32:34Z,0:16:28,16.47,2022,12:16:06,0,0,31.3,23.8,27.55,-0.824530947,0.163522596,-0.366266492,19.1,1.650139823
2022-02-22_LV_MAG_Clean.xlsx.2,B,UW,LV,Alpha,BY,2003-01-01,2022-02-22,2022-02-22_LV_MAG_Clean.xlsx,DRY,2022-02-22T13:11:08Z,2022-02-22T13:27:13Z,0:16:05,16.08,2022,13:11:08,0,0,31.3,23.8,27.55,-0.824530947,0.163522596,-0.366266492,19.1,1.650139823
2022-02-22_LV_MAG_Clean.xlsx.3,B,UW,LV,Alpha,BY,2003-01-01,2022-02-22,2022-02-22_LV_MAG_Clean.xlsx,DRY,2022-02-22T15:35:35Z,2022-02-22T15:51:41Z,0:16:06,16.1,2022,15:35:35,0,0,31.3,23.8,27.55,-0.824530947,0.163522596,-0.366266492,19.1,1.650139823
2022-02-23_LV_MAG_Clean.xlsx.1,NA,NA,LV,Alpha,BY,2003-01-01,2022-02-23,2022-02-23_LV_MAG_Clean.xlsx,DRY,2022-02-23T06:56:12Z,2022-02-23T07:11:46Z,0:15:34,15.57,2022,6:56:12,0,0,30.8,23.6,27.2,-0.824530947,-0.028032827,-0.366266492,19.1,1.650139823
2022-02-23_LV_MAG_Clean.xlsx.2,B,UW,LV,Alpha,BY,2003-01-01,2022-02-23,2022-02-23_LV_MAG_Clean.xlsx,DRY,2022-02-23T07:31:49Z,2022-02-23T07:48:45Z,0:16:56,16.93,2022,7:31:49,0,0,30.8,23.6,27.2,-0.824530947,-0.028032827,-0.366266492,19.1,1.650139823
2022-02-23_LV_MAG_Clean.xlsx.3,NA,NA,LV,Alpha,BY,2003-01-01,2022-02-23,2022-02-23_LV_MAG_Clean.xlsx,DRY,2022-02-23T09:17:46Z,2022-02-23T09:34:20Z,0:16:34,16.57,2022,9:17:46,0,0,30.8,23.6,27.2,-0.824530947,-0.028032827,-0.366266492,19.1,1.650139823
2022-02-24_GN_SRM_Clean.xlsx.10,B,UW,GN,Subord,TD,2012-10-23,2022-02-24,2022-02-24_GN_SRM_Clean.xlsx,DRY,2022-02-24T12:08:20Z,2022-02-24T12:24:43Z,0:16:23,16.38,2022,12:08:20,0,0,31.2,23.7,27.45,-0.824530947,0.108792476,-0.366266492,9.3,-0.962217294
2022-02-24_GN_SRM_Clean.xlsx.2,NA,NA,GN,Subord,EC,2009-01-01,2022-02-24,2022-02-24_GN_SRM_Clean.xlsx,DRY,2022-02-24T07:49:23Z,2022-02-24T08:06:57Z,0:17:34,17.57,2022,7:49:23,0,0,31.2,23.7,27.45,-0.824530947,0.108792476,-0.366266492,13.1,0.050737506
2022-02-24_GN_SRM_Clean.xlsx.3,B,UW,GN,Alpha,DD,2008-01-01,2022-02-24,2022-02-24_GN_SRM_Clean.xlsx,DRY,2022-02-24T08:19:29Z,2022-02-24T08:36:40Z,0:17:11,17.18,2022,8:19:29,0,0,31.2,23.7,27.45,-0.824530947,0.108792476,-0.366266492,14.1,0.317304559
2022-02-24_GN_SRM_Clean.xlsx.3,B,UW,GN,Alpha,DD,2008-01-01,2022-02-24,2022-02-24_GN_SRM_Clean.xlsx,DRY,2022-02-24T08:19:29Z,2022-02-24T08:36:40Z,0:17:11,17.18,2022,8:19:29,0,0,31.2,23.7,27.45,-0.824530947,0.108792476,-0.366266492,14.1,0.317304559
2022-02-24_GN_SRM_Clean.xlsx.4,B,UW,GN,Subord,TD,2012-10-23,2022-02-24,2022-02-24_GN_SRM_Clean.xlsx,DRY,2022-02-24T09:23:13Z,2022-02-24T09:40:58Z,0:17:45,17.75,2022,9:23:13,0,0,31.2,23.7,27.45,-0.824530947,0.108792476,-0.366266492,9.3,-0.962217294
2022-02-24_GN_SRM_Clean.xlsx.5,B,UW,GN,Subord,EC,2009-01-01,2022-02-24,2022-02-24_GN_SRM_Clean.xlsx,DRY,2022-02-24T09:51:22Z,2022-02-24T10:06:49Z,0:15:27,15.45,2022,9:51:22,0,0,31.2,23.7,27.45,-0.824530947,0.108792476,-0.366266492,13.1,0.050737506
2022-02-24_GN_SRM_Clean.xlsx.6,B,UW,GN,Subord,TD,2012-10-23,2022-02-24,2022-02-24_GN_SRM_Clean.xlsx,DRY,2022-02-24T10:16:46Z,2022-02-24T10:36:15Z,0:19:29,19.48,2022,10:16:46,0,0,31.2,23.7,27.45,-0.824530947,0.108792476,-0.366266492,9.3,-0.962217294
