Date,Focal_uniqueID,Filename,Male,DOB,Rank,Group,Observer,Focal_duration,UW_behav,Seasonality,Age
2022-03-15,2022-03-15_RM_GMC-2,2022-03-15_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,0:15:11,NA,0,7.9
2022-03-15,2022-03-15_RM_GMC-3,2022-03-15_RM_GMC_Clean.xlsx,FI,2014-08-25,sub,RM,GMC,0:09:05,NA,0,7.6
2022-03-15,2022-03-15_RM_GMC-3,2022-03-15_RM_GMC_Clean.xlsx,FI,2014-08-25,sub,RM,GMC,0:09:05,UW,0,7.6
2022-03-15,2022-03-15_RM_GMC-3,2022-03-15_RM_GMC_Clean.xlsx,FI,2014-08-25,sub,RM,GMC,0:09:05,UW,0,7.6
2022-03-16,2022-03-16_RM_GMC-1,2022-03-16_RM_GMC_Clean.xlsx,CZ,2006-01-01,sub,RM,GMC,0:15:21,NA,0,16.2
2022-03-16,2022-03-16_RM_GMC-10,2022-03-16_RM_GMC_Clean.xlsx,KO,2009-01-01,alpha,RM,GMC,0:15:36,NA,0,13.2
2022-03-16,2022-03-16_RM_GMC-10,2022-03-16_RM_GMC_Clean.xlsx,KO,2009-01-01,alpha,RM,GMC,0:15:36,UW,0,13.2
2022-03-16,2022-03-16_RM_GMC-11,2022-03-16_RM_GMC_Clean.xlsx,FI,2014-08-25,sub,RM,GMC,0:15:08,NA,0,7.6
2022-03-16,2022-03-16_RM_GMC-11,2022-03-16_RM_GMC_Clean.xlsx,FI,2014-08-25,sub,RM,GMC,0:15:08,UW,0,7.6
2022-03-16,2022-03-16_RM_GMC-12,2022-03-16_RM_GMC_Clean.xlsx,CZ,2006-01-01,sub,RM,GMC,0:07:31,NA,0,16.2
2022-03-16,2022-03-16_RM_GMC-2,2022-03-16_RM_GMC_Clean.xlsx,LO,2011-01-01,sub,RM,GMC,0:12:20,NA,0,11.2
2022-03-16,2022-03-16_RM_GMC-3,2022-03-16_RM_GMC_Clean.xlsx,FI,2014-08-25,sub,RM,GMC,0:15:20,NA,0,7.6
2022-03-16,2022-03-16_RM_GMC-4,2022-03-16_RM_GMC_Clean.xlsx,FG,2009-02-18,sub,RM,GMC,0:15:18,NA,0,13.1
2022-03-16,2022-03-16_RM_GMC-5,2022-03-16_RM_GMC_Clean.xlsx,LE,1994-05-01,sub,RM,GMC,0:15:02,NA,0,27.9
2022-03-16,2022-03-16_RM_GMC-6,2022-03-16_RM_GMC_Clean.xlsx,FI,2014-08-25,sub,RM,GMC,0:08:21,NA,0,7.6
2022-03-16,2022-03-16_RM_GMC-8,2022-03-16_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,0:15:09,NA,0,7.9
2022-03-16,2022-03-16_RM_GMC-8,2022-03-16_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,0:15:09,UW,0,7.9
2022-03-16,2022-03-16_RM_GMC-8,2022-03-16_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,0:15:09,UW,0,7.9
2022-03-16,2022-03-16_RM_GMC-9,2022-03-16_RM_GMC_Clean.xlsx,LE,1994-05-01,sub,RM,GMC,0:14:55,NA,0,27.9
2022-06-20,2022-06-20_AD_NKK-1,2022-06-20_AD_NKK_Clean.xlsx,CG,2011-05-24,sub,AD,NKK,1:14:30,NA,16.41,11.1
2022-06-20,2022-06-20_AD_NKK-1,2022-06-20_AD_NKK_Clean.xlsx,CG,2011-05-24,sub,AD,NKK,1:14:30,UW,16.41,11.1
2022-06-20,2022-06-20_AD_NKK-4,2022-06-20_AD_NKK_Clean.xlsx,WE,2013-11-01,sub,AD,NKK,0:10:06,NA,16.41,8.6
2022-06-20,2022-06-20_AD_YVA-1,2022-06-20_AD_YVA_Clean.xlsx,WE,2013-11-01,sub,AD,YVA,0:47:47,NA,16.41,8.6
2022-06-20,2022-06-20_AD_YVA-2,2022-06-20_AD_YVA_Clean.xlsx,CG,2011-05-24,sub,AD,YVA,0:17:15,NA,16.41,11.1
2022-06-20,2022-06-20_AD_YVA-3,2022-06-20_AD_YVA_Clean.xlsx,BD,2010-08-20,alpha,AD,YVA,0:16:47,NA,16.41,11.8
2022-06-20,2022-06-20_AD_YVA-6,2022-06-20_AD_YVA_Clean.xlsx,WE,2013-11-01,sub,AD,YVA,0:07:28,NA,16.41,8.6
2022-06-21,2022-06-21_LV_DSS-1,2022-06-21_LV_DSS_Clean.xlsx,BY,2003-01-01,alpha,LV,DSS,0:11:07,NA,16.98,19.5
2022-06-21,2022-06-21_LV_DSS-3,2022-06-21_LV_DSS_Clean.xlsx,BY,2003-01-01,alpha,LV,DSS,0:09:42,NA,16.98,19.5
2022-06-21,2022-06-21_LV_DSS-4,2022-06-21_LV_DSS_Clean.xlsx,PW,2006-01-01,sub,LV,DSS,0:09:19,NA,16.98,16.5
2022-06-21,2022-06-21_LV_DSS-6,2022-06-21_LV_DSS_Clean.xlsx,PW,2006-01-01,sub,LV,DSS,0:06:28,NA,16.98,16.5
2022-06-21,2022-06-21_LV_DSS-7,2022-06-21_LV_DSS_Clean.xlsx,BY,2003-01-01,alpha,LV,DSS,0:16:27,NA,16.98,19.5
2022-06-21,2022-06-21_LV_NKK-1,2022-06-21_LV_NKK_Clean.xlsx,HG,2007-04-12,sub,LV,NKK,0:13:32,NA,16.98,15.2
2022-06-21,2022-06-21_LV_NKK-4,2022-06-21_LV_NKK_Clean.xlsx,SB,2014-12-02,sub,LV,NKK,0:45:11,NA,16.98,7.6
2022-06-21,2022-06-21_LV_NKK-5,2022-06-21_LV_NKK_Clean.xlsx,HG,2007-04-12,sub,LV,NKK,0:15:56,NA,16.98,15.2
2022-06-21,2022-06-21_LV_YVA-1,2022-06-21_LV_YVA_Clean.xlsx,HG,2007-04-12,sub,LV,YVA,0:14:58,NA,16.98,15.2
2022-06-21,2022-06-21_LV_YVA-4,2022-06-21_LV_YVA_Clean.xlsx,SB,2014-12-02,sub,LV,YVA,0:45:13,NA,16.98,7.6
2022-06-21,2022-06-21_LV_YVA-5,2022-06-21_LV_YVA_Clean.xlsx,HG,2007-04-12,sub,LV,YVA,0:16:06,NA,16.98,15.2
2022-06-22,2022-06-22_AD_DSS-1,2022-06-22_AD_DSS_Clean.xlsx,CG,2011-05-24,sub,AD,DSS,0:09:39,NA,17.07,11.1
2022-06-22,2022-06-22_AD_DSS-10,2022-06-22_AD_DSS_Clean.xlsx,WE,2013-11-01,sub,AD,DSS,0:06:29,NA,17.07,8.6
2022-06-22,2022-06-22_AD_DSS-11,2022-06-22_AD_DSS_Clean.xlsx,BD,2010-08-20,alpha,AD,DSS,0:11:13,NA,17.07,11.8
2022-06-22,2022-06-22_AD_DSS-2,2022-06-22_AD_DSS_Clean.xlsx,BD,2010-08-20,alpha,AD,DSS,0:09:39,NA,17.07,11.8
2022-06-22,2022-06-22_AD_DSS-3,2022-06-22_AD_DSS_Clean.xlsx,BD,2010-08-20,alpha,AD,DSS,0:11:24,NA,17.07,11.8
2022-06-22,2022-06-22_AD_DSS-4,2022-06-22_AD_DSS_Clean.xlsx,WE,2013-11-01,sub,AD,DSS,0:10:01,NA,17.07,8.6
2022-06-22,2022-06-22_AD_DSS-5,2022-06-22_AD_DSS_Clean.xlsx,KN,2009-01-01,sub,AD,DSS,0:10:12,NA,17.07,13.5
2022-06-22,2022-06-22_AD_DSS-6,2022-06-22_AD_DSS_Clean.xlsx,CG,2011-05-24,sub,AD,DSS,0:07:42,NA,17.07,11.1
2022-06-22,2022-06-22_AD_DSS-7,2022-06-22_AD_DSS_Clean.xlsx,CG,2011-05-24,sub,AD,DSS,0:10:01,NA,17.07,11.1
2022-06-22,2022-06-22_AD_DSS-9,2022-06-22_AD_DSS_Clean.xlsx,CG,2011-05-24,sub,AD,DSS,0:10:02,NA,17.07,11.1
2022-06-22,2022-06-22_AD_NKK-1,2022-06-22_AD_NKK_Clean.xlsx,BD,2010-08-20,alpha,AD,NKK,0:10:00,NA,17.07,11.8
2022-06-22,2022-06-22_AD_NKK-2,2022-06-22_AD_NKK_Clean.xlsx,WE,2013-11-01,sub,AD,NKK,0:10:00,NA,17.07,8.6
2022-06-22,2022-06-22_AD_NKK-3,2022-06-22_AD_NKK_Clean.xlsx,KN,2009-01-01,sub,AD,NKK,0:10:00,NA,17.07,13.5
2022-06-22,2022-06-22_AD_NKK-4,2022-06-22_AD_NKK_Clean.xlsx,CG,2011-05-24,sub,AD,NKK,0:08:00,NA,17.07,11.1
2022-06-22,2022-06-22_AD_NKK-5,2022-06-22_AD_NKK_Clean.xlsx,CG,2011-05-24,sub,AD,NKK,0:10:00,NA,17.07,11.1
2022-06-22,2022-06-22_AD_NKK-6,2022-06-22_AD_NKK_Clean.xlsx,WE,2013-11-01,sub,AD,NKK,0:06:00,NA,17.07,8.6
2022-06-22,2022-06-22_AD_NKK-7,2022-06-22_AD_NKK_Clean.xlsx,BD,2010-08-20,alpha,AD,NKK,0:10:00,NA,17.07,11.8
2022-06-23,2022-06-23_AD_NKK-1,2022-06-23_AD_NKK_Clean.xlsx,BD,2010-08-20,alpha,AD,NKK,0:10:36,NA,16.83,11.8
2022-06-23,2022-06-23_AD_NKK-3,2022-06-23_AD_NKK_Clean.xlsx,BD,2010-08-20,alpha,AD,NKK,0:10:10,NA,16.83,11.8
2022-06-23,2022-06-23_AD_NKK-4,2022-06-23_AD_NKK_Clean.xlsx,CG,2011-05-24,sub,AD,NKK,0:10:03,NA,16.83,11.1
2022-06-23,2022-06-23_AD_NKK-5,2022-06-23_AD_NKK_Clean.xlsx,BD,2010-08-20,alpha,AD,NKK,0:10:12,NA,16.83,11.8
2022-06-28,2022-06-28_LV_DSS-1,2022-06-28_LV_DSS_Clean.xlsx,HG,2007-04-12,sub,LV,DSS,0:09:58,NA,15.47,15.2
2022-06-28,2022-06-28_LV_DSS-2,2022-06-28_LV_DSS_Clean.xlsx,BY,2003-01-01,alpha,LV,DSS,0:09:56,NA,15.47,19.5
2022-06-28,2022-06-28_LV_DSS-3,2022-06-28_LV_DSS_Clean.xlsx,PW,2006-01-01,sub,LV,DSS,0:10:49,NA,15.47,16.5
2022-06-28,2022-06-28_LV_DSS-4,2022-06-28_LV_DSS_Clean.xlsx,HG,2007-04-12,sub,LV,DSS,0:12:31,NA,15.47,15.2
2022-06-28,2022-06-28_LV_DSS-5,2022-06-28_LV_DSS_Clean.xlsx,SB,2014-12-02,sub,LV,DSS,0:09:04,NA,15.47,7.6
2022-06-28,2022-06-28_LV_DSS-6,2022-06-28_LV_DSS_Clean.xlsx,PW,2006-01-01,sub,LV,DSS,0:10:28,NA,15.47,16.5
2022-06-28,2022-06-28_LV_DSS-7,2022-06-28_LV_DSS_Clean.xlsx,BY,2003-01-01,alpha,LV,DSS,0:11:00,NA,15.47,19.5
2022-06-28,2022-06-28_LV_DSS-8,2022-06-28_LV_DSS_Clean.xlsx,SB,2014-12-02,sub,LV,DSS,0:11:58,NA,15.47,7.6
2022-06-28,2022-06-28_LV_MAG-1,2022-06-28_LV_MAG_Clean.xlsx,HG,2007-04-12,sub,LV,MAG,0:09:54,NA,15.47,15.2
2022-06-28,2022-06-28_LV_NKK-1,2022-06-28_LV_NKK_Clean.xlsx,SB,2014-12-02,sub,LV,NKK,0:08:59,NA,15.47,7.6
2022-06-28,2022-06-28_LV_NKK-2,2022-06-28_LV_NKK_Clean.xlsx,PW,2006-01-01,sub,LV,NKK,0:11:21,NA,15.47,16.5
2022-06-28,2022-06-28_LV_NKK-3,2022-06-28_LV_NKK_Clean.xlsx,HG,2007-04-12,sub,LV,NKK,0:06:50,NA,15.47,15.2
2022-06-28,2022-06-28_LV_YVA-1,2022-06-28_LV_YVA_Clean.xlsx,PW,2006-01-01,sub,LV,YVA,0:11:25,NA,15.47,16.5
2022-06-28,2022-06-28_LV_YVA-2,2022-06-28_LV_YVA_Clean.xlsx,SB,2014-12-02,sub,LV,YVA,0:10:30,NA,15.47,7.6
2022-06-28,2022-06-28_LV_YVA-3,2022-06-28_LV_YVA_Clean.xlsx,HG,2007-04-12,sub,LV,YVA,0:10:05,NA,15.47,15.2
2022-06-29,2022-06-29_GN_DSS-1,2022-06-29_GN_DSS_Clean.xlsx,DD,2008-01-01,alpha,GN,DSS,0:07:20,NA,14.21,14.5
2022-06-29,2022-06-29_GN_DSS-3,2022-06-29_GN_DSS_Clean.xlsx,TD,2012-10-23,sub,GN,DSS,0:10:25,NA,14.21,9.7
2022-06-29,2022-06-29_GN_DSS-4,2022-06-29_GN_DSS_Clean.xlsx,EC,2009-01-01,sub,GN,DSS,0:09:21,NA,14.21,13.5
2022-06-29,2022-06-29_GN_DSS-5,2022-06-29_GN_DSS_Clean.xlsx,TD,2012-10-23,sub,GN,DSS,0:09:07,NA,14.21,9.7
2022-06-29,2022-06-29_GN_DSS-6,2022-06-29_GN_DSS_Clean.xlsx,DD,2008-01-01,alpha,GN,DSS,0:09:50,NA,14.21,14.5
2022-06-29,2022-06-29_GN_DSS-7,2022-06-29_GN_DSS_Clean.xlsx,EC,2009-01-01,sub,GN,DSS,0:09:57,NA,14.21,13.5
2022-06-29,2022-06-29_GN_DSS-8,2022-06-29_GN_DSS_Clean.xlsx,DD,2008-01-01,alpha,GN,DSS,0:09:59,NA,14.21,14.5
2022-06-29,2022-06-29_GN_DSS-9,2022-06-29_GN_DSS_Clean.xlsx,DD,2008-01-01,alpha,GN,DSS,0:10:17,NA,14.21,14.5
2022-06-30,2022-06-30_GN_MAG-1,2022-06-30_GN_MAG_Clean.xlsx,TD,2012-10-23,sub,GN,MAG,0:09:57,NA,14.28,9.7
